chart_date,chart_name,track_artist,track_bpm,track_date,track_genre,track_key,track_label,track_length_ms,track_remixer,track_title
2024-01-13T15:43:49-07:00,'Children' Chart,WhoMadeWho,122,2024-01-11,Melodic House & Techno,E Minor,The Moment,336393,"Mind Against,Dyzen",Children (Mind Against & Dyzen Remix)
2024-01-13T15:43:49-07:00,'Children' Chart,Four Tet,165,2024-01-10,Electronica,G Major,Text Records,243263,,Loved
2024-01-13T15:43:49-07:00,'Children' Chart,Sam Shure,123,2023-12-14,Indie Dance,D Minor,Habitat Records,347975,,Regency
2024-01-13T15:43:49-07:00,'Children' Chart,Fango,120,2023-11-10,Indie Dance,G Minor,Running Back,433647,,Sarcosuco
2024-01-13T15:43:49-07:00,'Children' Chart,Olof Dreijer,127,2023-10-17,Bass / Club,F Minor,Hessle Audio,332918,,Rosa Rugosa EP
2024-01-13T15:43:49-07:00,'Children' Chart,Jimi Jules,123,2023-11-24,Indie Dance,D Minor,Innervisions,330966,,PowerHouse
2024-01-13T15:43:49-07:00,'Children' Chart,"Mind Against,Vaert",124,2023-11-24,Melodic House & Techno,E Minor,Afterlife Records,361720,,Realm Of Consciousness Pt.VI
2024-01-13T15:43:49-07:00,'Children' Chart,Overmono,136,2023-09-07,Electronica,A Minor,XL Recordings,216070,,Blow Out
2024-01-13T15:43:49-07:00,'Children' Chart,Two Shell,155,2023-06-14,Electronica,C Minor,Mainframe Audio,198759,,lil spirits
2024-01-13T15:43:49-07:00,'Children' Chart,Jamie xx,130,2024-01-09,Bass / Club,F Minor,Young,278518,,It's So Good
2024-01-13T09:22:01-07:00,GET DIRTY,KiRKie,130,2024-01-12,Minimal / Deep Tech,E Major,Not For Me,361442,,Get Dirty
2024-01-13T09:22:01-07:00,GET DIRTY,Jeff Sorkowitz,131,2023-12-22,Minimal / Deep Tech,B Major,Take Notes,399389,,SECRET NOTES VOL. 2
2024-01-13T09:22:01-07:00,GET DIRTY,Endor,124,2023-06-02,Tech House,F Minor,Ruff Cutz Records,282686,,Sex Drugs Cash
2024-01-13T09:22:01-07:00,GET DIRTY,Mene,130,2023-03-17,Tech House,G Minor,Revival New York,376615,,Under The Pillow EP
2024-01-13T09:22:01-07:00,GET DIRTY,"Brendan James,Langers One",128,2023-11-11,Minimal / Deep Tech,F Minor,Uncut,360614,,Slave EP
2024-01-13T09:22:01-07:00,GET DIRTY,Félix (UK),130,2023-12-01,Minimal / Deep Tech,E Minor,Offski Records,418000,,Dance Till You're Dead
2024-01-13T09:22:01-07:00,GET DIRTY,Gio Lucca,130,2023-12-22,Minimal / Deep Tech,Ab Major,Take Notes,354468,,SECRET NOTES VOL. 2
2024-01-13T09:22:01-07:00,GET DIRTY,Mattr. (UK),129,2023-11-10,Minimal / Deep Tech,F Minor,Sibil-la Music,417773,,Check it
2024-01-13T09:22:01-07:00,GET DIRTY,KiRKie,130,2023-11-23,Minimal / Deep Tech,G Minor,Techords,341538,,Lie To Me EP
2024-01-13T09:22:01-07:00,GET DIRTY,Bass On The Flow,129,2024-01-18,Minimal / Deep Tech,C Minor,Uncut,364651,,Get Bump EP
2024-01-13T09:22:01-07:00,GET DIRTY,"Jack Realist,James Large",129,2024-01-12,Minimal / Deep Tech,E Minor,Cicle Records,357352,,Let You Go (feat. James Large)
2024-01-13T13:37:00-07:00,Farsight's Q1 2024 Heaters,Farsight,100,2024-01-12,Bass / Club,Gb Minor,Rinse,277000,,Leche De Tigre / Riptide
2024-01-13T13:37:00-07:00,Farsight's Q1 2024 Heaters,Guchon,135,2024-01-05,House,A Minor,Maximum Airtime,258986,,Piano Bros EP
2024-01-13T13:37:00-07:00,Farsight's Q1 2024 Heaters,Peverelist,128,2023-11-03,Techno (Raw / Deep / Hypnotic),F Minor,Livity Sound Recordings,334265,,Pulse Modulation EP
2024-01-13T13:37:00-07:00,Farsight's Q1 2024 Heaters,Ayesha (US),130,2023-09-06,Bass / Club,Db Major,Kindergarten Records,330461,,V7
2024-01-13T13:37:00-07:00,Farsight's Q1 2024 Heaters,Baalti,144,2023-10-04,UK Garage / Bassline,Ab Minor,All My Thoughts,301000,Farsight,Buttons (Farsight Remix)
2024-01-13T13:37:00-07:00,Farsight's Q1 2024 Heaters,Swimful,143,2022-09-14,Bass / Club,F Major,SVBKVLT,255126,,Rushlight
2024-01-13T13:37:00-07:00,Farsight's Q1 2024 Heaters,Farsight,138,2024-01-12,Bass / Club,Ab Minor,Rinse,269500,,Leche De Tigre / Riptide
2024-01-13T13:37:00-07:00,Farsight's Q1 2024 Heaters,Lithe,85,2022-08-19,Bass / Club,F Minor,Flood,353504,,Mainline
2024-01-13T13:37:00-07:00,Farsight's Q1 2024 Heaters,Chlär,144,2023-08-11,Techno (Raw / Deep / Hypnotic),Ab Minor,Mutual Rytm,282666,,Intrinsic Drive
2024-01-13T13:37:00-07:00,Farsight's Q1 2024 Heaters,Bastiengoat,135,2023-08-18,Breaks / Breakbeat / UK Bass,A Minor,Worst Behavior Recs,358229,,"Worst Behavior, Vol. 4"
2024-01-13T16:07:48-07:00,Suena El Tambor 2024,96 Vibe,128,2024-01-12,Tech House,Ab Major,Bump N' Grind Records,352500,,Suena el Tambor EP
2024-01-13T16:07:48-07:00,Suena El Tambor 2024,96 Vibe,127,2024-01-12,Tech House,B Minor,Bump N' Grind Records,351496,,Suena el Tambor EP
2024-01-13T16:07:48-07:00,Suena El Tambor 2024,Simenga,127,2024-01-05,Tech House,C Minor,Stereophonic,287244,,Bombedom
2024-01-13T16:07:48-07:00,Suena El Tambor 2024,"Lazarusman,Bontan",93,2023-12-01,Afro House,F Minor,One Tribe Records,309916,,Drum Rhythm
2024-01-13T16:07:48-07:00,Suena El Tambor 2024,Mele,128,2023-08-25,Afro House,E Minor,Club Bad,352500,,Transit Tapes 001
2024-01-13T16:07:48-07:00,Suena El Tambor 2024,"DEM2,96 Vibe,Yuliesky",127,2023-10-27,Tech House,Eb Major,Club Bad,325061,,Sudando
2024-01-13T16:07:48-07:00,Suena El Tambor 2024,Peppe Citarella,125,2022-04-01,Afro House,F Major,UNION RECORDS (IT),322560,,Enkama (feat. Eduardo Vargas)
2024-01-13T16:07:48-07:00,Suena El Tambor 2024,"Corey James,Kokiri",96,2023-12-08,Tech House,G Minor,SIZE Records,302137,,UR MND
2024-01-13T16:07:48-07:00,Suena El Tambor 2024,Deefo,126,2023-09-01,House,E Major,Holy Molé Music,317057,,You Got Me EP
2024-01-13T16:07:48-07:00,Suena El Tambor 2024,"Loco Dice,VLTRA (IT),Francis De Simone",129,2023-05-19,Tech House,B Minor,SB Recordings,390896,,Flowcito
2024-01-13T16:07:48-07:00,Suena El Tambor 2024,Lonely,130,2023-04-07,Tech House,Db Major,Technoblazer,444000,,That's Not Me
2024-01-13T16:07:48-07:00,Suena El Tambor 2024,Mason Maynard,127,2022-07-01,House,G Minor,Xscape,351662,,Just Wanna (Extended Mix)
2024-01-13T13:36:58-07:00,2024 | WEEK 3 | JANUARY,"Javier de Baraja,Maria Estrella",124,2022-11-11,Afro House,Eb Major,Yet Records,408024,Buruntuma,Reminisce
